variant,lr_tag,seed,layer,active_fraction,h_route_layer,gate_mean,gate_std,gate_conditional_mean,gate_l1
v4-gdn-nsa,1e-3,1337,0,0.894378662109375,0.3778618834912777,0.03874846315011382,0.027173400158062577,0.043318361043930054,0.03874846315011382
v4-gdn-nsa,1e-3,1337,1,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,1337,2,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,1337,3,3.0517578125e-05,0.00012206658720970154,6.447342457249761e-06,0.0004126299172639847,0.02640831470489502,6.447342457249761e-06
v4-gdn-nsa,1e-3,1337,4,0.00457763671875,0.018226727843284607,0.005419940411229618,0.09314827667549253,1.2201967760920525,0.005419940411229618
v4-gdn-nsa,1e-3,1337,5,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,1337,6,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,1337,7,3.0517578125e-05,0.00012206658720970154,5.228870577411726e-06,0.00033464771695435047,0.02141745388507843,5.228870577411726e-06
v4-gdn-nsa,1e-3,1337,8,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,1337,9,0.0113525390625,0.044894635677337646,0.016660613531712443,0.18020242173224688,1.3036530688405037,0.016660613531712443
v4-gdn-nsa,1e-3,1337,10,9.1552734375e-05,0.00036617740988731384,3.116924835921964e-05,0.0018417718238197267,0.07634491100907326,3.116924835921964e-05
v4-gdn-nsa,1e-3,1337,11,3.0517578125e-05,0.00012206658720970154,2.513825165806338e-06,0.00016088481061160564,0.010296627879142761,2.513825165806338e-06
v4-gdn-nsa,1e-3,2026,0,0.91015625,0.32708740234375,0.03713108692318201,0.025640465319156647,0.040782727766782045,0.03713108692318201
v4-gdn-nsa,1e-3,2026,1,0.992645263671875,0.029202576726675034,1.8405940383672714,0.6674231514334679,1.8541563749313354,1.8405940383672714
v4-gdn-nsa,1e-3,2026,2,0.000885009765625,0.0035369060933589935,0.00037478794729395304,0.012432537856511772,0.31939463317394257,0.00037478794729395304
v4-gdn-nsa,1e-3,2026,3,6.103515625e-05,0.00024412572383880615,2.8239795938134193e-05,0.0014755668817088008,0.05783510208129883,2.8239795938134193e-05
v4-gdn-nsa,1e-3,2026,4,9.1552734375e-05,0.00036617740988731384,0.00016388293443014845,0.008821714669466019,0.37956979870796204,0.00016388293443014845
v4-gdn-nsa,1e-3,2026,5,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,2026,6,0.98065185546875,0.07589517533779144,8.145402431488037,3.458875745534897,8.305088579654694,8.145402431488037
v4-gdn-nsa,1e-3,2026,7,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,2026,8,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,2026,9,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,2026,10,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,2026,11,0.00140380859375,0.005607351660728455,0.0025267490273108706,0.06015445897355676,1.0508289709687233,0.0025267490273108706
v4-gdn-nsa,1e-3,42,0,0.763580322265625,0.7221016548573971,0.02975847409106791,0.02888158312998712,0.038961365818977356,0.02975847409106791
v4-gdn-nsa,1e-3,42,1,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,42,2,0.98004150390625,0.07824061810970306,3.423243373632431,1.029151938855648,3.4927970468997955,3.423243373632431
v4-gdn-nsa,1e-3,42,3,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,42,4,0.012481689453125,0.04930358752608299,0.42055264115333557,3.6897724866867065,33.3562650680542,0.42055264115333557
v4-gdn-nsa,1e-3,42,5,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,42,6,0.000152587890625,0.0006102584302425385,0.00012632619473151863,0.00617822514323052,0.282242588698864,0.00012632619473151863
v4-gdn-nsa,1e-3,42,7,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,42,8,0.0,0.0,0.0,0.0,0.0,0.0
v4-gdn-nsa,1e-3,42,9,0.957733154296875,0.1619214378297329,47.21800899505615,316.1693172454834,49.53110456466675,47.21800899505615
v4-gdn-nsa,1e-3,42,10,3.0517578125e-05,0.00012206658720970154,9.002469596453011e-06,0.0005761580541729927,0.03687411546707153,9.002469596453011e-06
v4-gdn-nsa,1e-3,42,11,0.0,0.0,0.0,0.0,0.0,0.0
